timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Specific attenuation,Attenuation
20130118T1000,-4.019755,0,99,0,59,0,0
20130118T1100,-3.1697545,0,92,0,63,0,0
20130118T1200,-2.7397547,0,87,0,52,0,0
20130118T1300,-2.3997545,0,90,1,55,0,0
20130118T1400,-2.3697548,0,23,0,35,0,0
20130118T1500,-3.5897546,0,18,0,43,0,0
20130118T1600,-4.099755,0,88,2,4,0,0
20130118T1700,-4.3597546,0,100,7,3,0,0
20130118T1800,-4.349755,0,99,9,1,0,0
20130118T1900,-4.519755,0,95,17,1,0,0
20130118T2000,-4.999755,0,92,80,2,0,0
20130118T2100,-5.2397547,0,96,94,0,0,0
20130118T2200,-3.9397545,0,98,100,0,0,0
20130118T2300,-3.5897546,0,90,99,10,0,0
20130119T0000,-3.4497547,0,66,100,7,0,0
20130119T0100,-3.3797545,0,2,98,5,0,0
20130119T0200,-3.3597546,0.1,78,99,19,0.091952203,0.012787287
20130119T0300,-3.6397548,0.2,92,100,33,0.092526842,0.025910324
20130119T0400,-3.5097547,0.2,79,100,55,0.092526842,0.025910324
20130119T0500,-3.5497546,0.2,38,98,77,0.092526842,0.025910324
20130119T0600,-3.3697548,0.1,58,99,95,0.091952203,0.012787287
20130119T0700,-3.3297548,0.4,93,100,98,0.093105072,0.052484433
20130119T0800,-3.1697545,0.3,100,100,99,0.092864647,0.039157722
20130119T0900,-2.8097544,0.2,98,92,98,0.092526842,0.025910324
20130119T1000,-2.5597544,0,87,95,99,0,0
20130119T1100,-2.0997548,0,2,90,80,0,0
20130119T1200,-1.5197545,0,0,83,64,0,0
20130119T1300,-1.1497546,0,74,78,68,0,0
20130119T1400,-0.7197546,0,100,88,62,0,0
20130119T1500,-0.5497546,0,100,99,61,0,0
20130119T1600,-0.41975462,0,100,99,47,0,0
20130119T1700,-0.4297546,0.2,100,100,9,0.092526842,0.11531194
20130119T1800,-0.3897546,0.3,100,100,7,0.092864647,0.179853258
20130119T1900,-0.4297546,0.3,100,98,4,0.092864647,0.204161738
20130119T2000,-0.35975462,0.3,98,100,2,0.092864647,0.219823934
20130119T2100,-0.3097546,0.4,98,99,1,0.093105072,0.295888952
20130119T2200,-0.2597546,0.7,99,100,2,0.093574544,0.522379112
20130119T2300,-0.04975462,1,98,91,4,0.093875,0.764349473
20130120T0000,0.090245396,1.3,97,96,2,0.094096626,1.051161688
20130120T0100,0.35024542,1.1,97,100,5,0.093955451,0.906433428
20130120T0200,0.34024543,0.9,92,74,0,0.093786146,0.740239101
20130120T0300,0.4502454,0.4,94,88,1,0.093105072,0.325252274
20130120T0400,-0.11975461,0.2,96,98,1,0.092526842,0.162370964
20130120T0500,-0.5897546,0,96,36,0,0,0
20130120T0600,-0.47975457,0,37,21,4,0,0
20130120T0700,-0.77975464,0,1,31,4,0,0
20130120T0800,-1.4597546,0,79,39,2,0,0
20130120T0900,-0.98975456,0,89,69,3,0,0
20130120T1000,0.1802454,0,98,62,13,0,0
20130120T1100,-0.28975457,0,84,87,3,0,0
20130120T1200,0.64024544,0,18,59,22,0,0
20130120T1300,0.88024545,0,39,71,15,0,0
