timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Cloud Attenuation
20130115T1800,-0.8097546,0,29,73,18,0.2620237609
20130115T1900,-1.1097546,0,16,85,14,0.18147129
20130115T2000,-0.8097546,0.2,5,83,19,0.2447918773
20130115T2100,-0.8397546,0.1,0,70,34,0.3951804708
20130115T2200,-0.7097546,0.3,1,81,60,0.483515456
20130115T2300,-0.3197546,0.3,0,66,43,0.5092342193
20130116T0000,-0.8097546,0.2,0,31,64,0.4356599824
20130116T0100,-1.0497546,0,0,10,74,0.4200530293
20130116T0200,-1.2097546,0,0,0,90,0.4132118129
20130116T0300,-1.6297547,0,0,0,90,0.4658151051
20130116T0400,-2.3397546,0,0,1,88,0.5622231067
20130116T0500,-2.8797545,0,0,1,85,0.6367425363
20130116T0600,-3.3397546,0,0,11,78,0.638708922
20130116T0700,-4.309755,0,0,37,71,0.5777639473
20130116T0800,-4.2597547,0,0,65,65,0.543326672
20130116T0900,-3.7597547,0,0,75,53,0.3448367017
20130116T1000,-2.5697546,0,0,66,58,0.1457145498
20130116T1100,-1.9197546,0,0,32,41,0.1149437028
20130116T1200,-1.4497546,0,0,5,59,0.1680699199
20130116T1300,-1.1297545,0,0,11,48,0.1923882008
20130116T1400,-1.3597546,0,0,23,49,0.2011009342
20130116T1500,-1.7097546,0,0,21,50,0.1923254268
20130116T1600,-2.2497544,0,0,17,41,0.2751032079
20130116T1700,-3.6497545,0,0,20,14,0.2021002525
20130116T1800,-4.709755,0,0,4,2,0.2043960774
20130116T1900,-5.2397547,0,0,10,9,0.1405528483
20130116T2000,-5.3197546,0,1,13,17,0.05260079336
20130116T2100,-5.599755,0,10,32,11,0.02346239891
20130116T2200,-5.7997546,0,30,65,46,0.006971096796
20130116T2300,-5.499755,0,42,94,11,0.00301921439
20130117T0000,-5.2397547,0,46,98,15,0.003041134344
20130117T0100,-4.9697547,0,1,100,61,0.06488327093
20130117T0200,-4.5497546,0,27,99,89,0.2069467857
20130117T0300,-4.1497545,0.1,49,78,92,0.4805969277
20130117T0400,-3.9097548,0.1,27,71,97,0.55252924
20130117T0500,-3.9297547,0.1,22,74,99,0.5791469085
20130117T0600,-3.7197547,0.2,11,88,96,0.6204665534
20130117T0700,-3.6397548,0.2,10,94,98,0.2012780895
20130117T0800,-3.6197548,0.2,15,76,96,0.3241441354
20130117T0900,-3.4897547,0.2,36,82,95,0.6394172894
20130117T1000,-2.9397545,0.2,25,93,85,0.396748894
20130117T1100,-2.5497546,0.1,23,98,84,0.1076150433
20130117T1200,-2.0697546,0.1,8,91,72,0.1253143596
20130117T1300,-2.0497546,0,8,63,85,0.1045534359
20130117T1400,-2.1097546,0,2,86,91,0.1499617672
20130117T1500,-2.2097545,0,2,99,84,0.1415077143
20130117T1600,-2.4797544,0,23,97,93,0.2032454221
20130117T1700,-2.6197548,0,0,95,94,0.2787210843
20130117T1800,-2.8197546,0.1,0,88,95,0.3021434956
20130117T1900,-3.1097546,0.1,0,87,96,0.1996886993
20130117T2000,-3.3797545,0.1,0,92,98,0.2020543458
20130117T2100,-3.709755,0,0,89,96,0.1703979761
20130117T2200,-4.5097547,0,0,71,91,0.2296280907
20130117T2300,-4.999755,0,0,12,86,0.2550871291
20130118T0000,-5.289755,0,0,14,89,0.1487978563
20130118T0100,-4.8997545,0,0,16,90,0.03429362038
20130118T0200,-4.479755,0,0,15,90,0.01316710613
20130118T0300,-4.479755,0,0,0,87,0.02058678261
20130118T0400,-4.289755,0,0,0,88,0.01809436407
20130118T0500,-4.0497546,0,0,0,80,0.02814990421
20130118T0600,-4.0097547,0,0,0,76,0.04659324538
20130118T0700,-4.289755,0,25,0,55,0.1511186404
20130118T0800,-5.139755,0,84,0,55,0.4080577251
20130118T0900,-5.349755,0,98,0,39,0.4190489964
20130118T1000,-4.019755,0,99,0,59,0.2229567575
20130118T1100,-3.1697545,0,92,0,63,0.2702670996
20130118T1200,-2.7397547,0,87,0,52,0.1984121543
20130118T1300,-2.3997545,0,90,1,55,0.2395401584
20130118T1400,-2.3697548,0,23,0,35,0.1512639158
20130118T1500,-3.5897546,0,18,0,43,0.125182457
20130118T1600,-4.099755,0,88,2,4,0.09516144286
20130118T1700,-4.3597546,0,100,7,3,0.09149063169
20130118T1800,-4.349755,0,99,9,1,0.1077010294
20130118T1900,-4.519755,0,95,17,1,0.1016649232
20130118T2000,-4.999755,0,92,80,2,0.07884311602
20130118T2100,-5.2397547,0,96,94,0,0.05598594417
20130118T2200,-3.9397545,0,98,100,0,0.4809607945
20130118T2300,-3.5897546,0,90,99,10,0.2294513356
20130119T0000,-3.4497547,0,66,100,7,0.2290821783
20130119T0100,-3.3797545,0,2,98,5,0.155922937
20130119T0200,-3.3597546,0.1,78,99,19,0.1872619909
20130119T0300,-3.6397548,0.2,92,100,33,0.1376440226
20130119T0400,-3.5097547,0.2,79,100,55,0.07077451176
20130119T0500,-3.5497546,0.2,38,98,77,0.06159738135
20130119T0600,-3.3697548,0.1,58,99,95,0.1413662751
20130119T0700,-3.3297548,0.4,93,100,98,0.06165806648
20130119T0800,-3.1697545,0.3,100,100,99,0.06004111469
20130119T0900,-2.8097544,0.2,98,92,98,0.06846646592
20130119T1000,-2.5597544,0,87,95,99,0.1771571598
20130119T1100,-2.0997548,0,2,90,80,0.2961360677
20130119T1200,-1.5197545,0,0,83,64,0.4091553676
